Mame Biram Diouf,STK,6.4,,Forward,CHE-H SOU-A SUN-A,"[Game vs. SWA A: 0 pts, Game vs. WAT H: 0 pts, Game vs. NEW A: 0 pts]",75.0,100.0,371,3.78933281644,11
Ayoze Pérez Gutiérrez,NEW,5.1,,Forward,BOU-A LEI-H CRY-A,"[Game vs. NOR H: 10 pts, Game vs. SUN A: 2 pts, Game vs. STK H: 2 pts]",,,273,3.77111155862,11
Aaron Cresswell,WHU,5.6,,Defender,EVE-H TOT-A WBA-H,"[Game vs. CRY A: 2 pts, Game vs. CHE H: 5 pts, Game vs. WAT A: 1 pts]",100.0,100.0,471,3.76842169383,11
Willian Borges Da Silva,CHE,6.8,,Midfielder,STK-A NOR-H TOT-A,"[Game vs. AVL H: 7 pts, Game vs. WHU A: 1 pts, Game vs. LIV H: 2 pts]",100.0,100.0,90,3.65813191714,11
Joel Ward,CRY,4.4,,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 0 pts, Game vs. LEI A: 0 pts, Game vs. MUN H: 7 pts]",75.0,100.0,105,3.62936152699,11
Fernando Luiz Rosa,MCI,6.0,,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 2 pts, Game vs. MUN A: 2 pts, Game vs. NOR H: 2 pts]",100.0,100.0,219,3.6281100552,11
Bakary Sako,CRY,5.4,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 0 pts]",100.0,100.0,537,3.61138784113,11
Eden Hazard,CHE,11.0,,Midfielder,STK-A NOR-H TOT-A,"[Game vs. AVL H: 1 pts, Game vs. WHU A: 2 pts, Game vs. LIV H: 1 pts]",,,86,3.56722282623,11
Pedro Rodríguez Ledesma,CHE,9.0,Knock - 75% chance of playing,Midfielder,STK-A NOR-H TOT-A,"[Game vs. AVL H: 3 pts, Game vs. WHU A: 0 pts, Game vs. LIV H: 0 pts]",75.0,75.0,563,3.56006694915,11
Gerard Deulofeu,EVE,6.2,,Midfielder,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 1 pts, Game vs. ARS A: 5 pts, Game vs. SUN H: 13 pts]",100.0,100.0,148,3.5530647448,11
Craig Dawson,WBA,5.1,,Defender,MUN-A ARS-H WHU-A,"[Game vs. SUN H: 5 pts, Game vs. NOR A: 6 pts, Game vs. LEI H: 1 pts]",100.0,100.0,448,3.55021564664,11
Christian Eriksen,TOT,8.4,,Midfielder,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 3 pts, Game vs. BOU A: 5 pts, Game vs. AVL H: 2 pts]",100.0,100.0,341,3.53882312451,11
Simon Mignolet,LIV,5.0,,Goalkeeper,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 7 pts, Game vs. SOU H: 2 pts, Game vs. CHE A: 2 pts]",,,175,3.51602691826,11
Wes Hoolahan,NOR,5.1,,Midfielder,SWA-H CHE-A ARS-H,"[Game vs. NEW A: 1 pts, Game vs. WBA H: 2 pts, Game vs. MCI A: 0 pts]",100.0,100.0,286,3.50753510069,11
Gylfi Sigurdsson,SWA,7.2,,Midfielder,NOR-A BOU-H LIV-A,"[Game vs. STK H: 1 pts, Game vs. AVL A: 8 pts, Game vs. ARS H: 2 pts]",,,407,3.50507616054,11
Matteo Darmian,MUN,5.7,Suspended until 21 Nov,Defender,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 6 pts, Game vs. MCI H: 1 pts, Game vs. CRY A: 5 pts]",,0.0,495,3.48650992745,10
Pape Souaré,CRY,4.5,Knock - 50% chance of playing,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 0 pts, Game vs. MUN H: 0 pts]",50.0,50.0,109,3.44754334517,10
Allan-Roméo Nyom,WAT,4.5,,Defender,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 0 pts, Game vs. STK A: 8 pts, Game vs. WHU H: 5 pts]",100.0,100.0,511,3.43865889062,10
Robbie Brady,NOR,5.4,,Midfielder,SWA-H CHE-A ARS-H,"[Game vs. NEW A: 2 pts, Game vs. WBA H: 2 pts, Game vs. MCI A: 5 pts]",,,527,3.41662600978,10
Tim Howard,EVE,5.1,,Goalkeeper,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 2 pts, Game vs. ARS A: 2 pts, Game vs. SUN H: 3 pts]",,,127,3.39207544114,10
Steven Naismith,EVE,5.3,,Forward,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 1 pts, Game vs. ARS A: 0 pts, Game vs. SUN H: 0 pts]",,,150,3.38653310317,10
Theo Walcott,ARS,8.5,Calf injury - Expected back 21 Nov,Midfielder,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 3 pts, Game vs. EVE H: 0 pts, Game vs. SWA A: 0 pts]",0.0,0.0,14,3.37665241366,10
Yann M'Vila,SUN,5.0,,Midfielder,SOU-H CRY-A STK-H,"[Game vs. WBA A: 2 pts, Game vs. NEW H: 6 pts, Game vs. EVE A: 2 pts]",100.0,100.0,544,3.35961661205,10
Craig Cathcart,WAT,4.5,,Defender,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 1 pts, Game vs. STK A: 6 pts, Game vs. WHU H: 6 pts]",,,425,3.34774979972,10
Martin Skrtel,LIV,5.5,,Defender,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 9 pts, Game vs. SOU H: 2 pts, Game vs. CHE A: 2 pts]",,,177,3.34148953937,10
Toby Alderweireld,TOT,5.3,,Defender,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 6 pts, Game vs. BOU A: 5 pts, Game vs. AVL H: 2 pts]",,,306,3.32154473751,10
Cédric Soares,SOU,5.0,,Defender,SUN-A STK-H MCI-A,"[Game vs. LEI H: 1 pts, Game vs. LIV A: 3 pts, Game vs. BOU H: 7 pts]",,,307,3.31920666909,10
Matt Ritchie,BOU,5.6,,Midfielder,NEW-H SWA-A EVE-H,"[Game vs. MCI A: 1 pts, Game vs. TOT H: 8 pts, Game vs. SOU A: 2 pts]",,,64,3.31848504889,10
César Azpilicueta,CHE,5.9,,Defender,STK-A NOR-H TOT-A,"[Game vs. AVL H: 6 pts, Game vs. WHU A: 0 pts, Game vs. LIV H: 4 pts]",,,80,3.28609782719,10
Olivier Giroud,ARS,8.7,,Forward,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 5 pts, Game vs. EVE H: 6 pts, Game vs. SWA A: 6 pts]",,,26,3.28049992014,10
Gareth McAuley,WBA,5.0,,Defender,MUN-A ARS-H WHU-A,"[Game vs. SUN H: 8 pts, Game vs. NOR A: 9 pts, Game vs. LEI H: 1 pts]",100.0,100.0,452,3.27748837391,10
Jason Puncheon,CRY,5.8,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 2 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 3 pts]",100.0,100.0,113,3.2477514775,10
Bojan Krkic,STK,5.3,,Forward,CHE-H SOU-A SUN-A,"[Game vs. SWA A: 9 pts, Game vs. WAT H: 2 pts, Game vs. NEW A: 1 pts]",100.0,100.0,372,3.24387827099,10
Martin Kelly,CRY,4.3,,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 5 pts]",,,107,3.17481607245,10
Steven Davis,SOU,4.8,,Midfielder,SUN-A STK-H MCI-A,"[Game vs. LEI H: 1 pts, Game vs. LIV A: 2 pts, Game vs. BOU H: 11 pts]",,,309,3.16557940795,9
James Milner,LIV,6.7,,Midfielder,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 2 pts, Game vs. SOU H: 6 pts, Game vs. CHE A: 2 pts]",,,197,3.14945811919,9
Daniel Drinkwater,LEI,4.5,,Midfielder,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 2 pts, Game vs. CRY H: 3 pts, Game vs. WBA A: 5 pts]",,,166,3.14945672553,9
Simon Francis,BOU,4.5,,Defender,NEW-H SWA-A EVE-H,"[Game vs. MCI A: 0 pts, Game vs. TOT H: 0 pts, Game vs. SOU A: 0 pts]",,,57,3.14576100135,9
Jose Fonte,SOU,5.4,Hamstring injury - 75% chance of playing,Defender,SUN-A STK-H MCI-A,"[Game vs. LEI H: 8 pts, Game vs. LIV A: 2 pts, Game vs. BOU H: 1 pts]",,75.0,302,3.13738848728,9
Moussa Sissoko,NEW,5.7,,Midfielder,BOU-A LEI-H CRY-A,"[Game vs. NOR H: 13 pts, Game vs. SUN A: 2 pts, Game vs. STK H: 3 pts]",100.0,100.0,264,3.13429211759,9
Manuel Lanzini,WHU,5.3,,Midfielder,EVE-H TOT-A WBA-H,"[Game vs. CRY A: 13 pts, Game vs. CHE H: 2 pts, Game vs. WAT A: 1 pts]",,,521,3.10979501521,9
Kurt Zouma,CHE,5.5,,Defender,STK-A NOR-H TOT-A,"[Game vs. AVL H: 6 pts, Game vs. WHU A: 6 pts, Game vs. LIV H: 1 pts]",,,82,3.10427964538,9
Ander Herrera,MUN,6.6,,Midfielder,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 14 pts, Game vs. MCI H: 3 pts, Game vs. CRY A: 3 pts]",100.0,100.0,244,3.09776053893,9
Erik Lamela,TOT,6.8,,Midfielder,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 2 pts, Game vs. BOU A: 7 pts, Game vs. AVL H: 6 pts]",,,340,3.08427766997,9
Jesús Navas,MCI,6.3,,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 9 pts, Game vs. MUN A: 1 pts, Game vs. NOR H: 2 pts]",,,218,3.08265550974,9
James McArthur,CRY,5.0,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 2 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 3 pts]",100.0,100.0,117,3.06593329568,9
Costel Pantilimon,SUN,4.8,,Goalkeeper,SOU-H CRY-A STK-H,"[Game vs. WBA A: 1 pts, Game vs. NEW H: 10 pts, Game vs. EVE A: 0 pts]",,,375,3.05121647618,9
Glen Johnson,STK,5.0,,Defender,CHE-H SOU-A SUN-A,"[Game vs. SWA A: 6 pts, Game vs. WAT H: 1 pts, Game vs. NEW A: 6 pts]",75.0,100.0,499,3.04351429804,9
Maarten Stekelenburg,SOU,5.0,,Goalkeeper,SUN-A STK-H MCI-A,"[Game vs. LEI H: 0 pts, Game vs. LIV A: 2 pts, Game vs. BOU H: 6 pts]",100.0,100.0,300,3.03601483508,9
Mark Noble,WHU,5.5,,Midfielder,EVE-H TOT-A WBA-H,"[Game vs. CRY A: 2 pts, Game vs. CHE H: 2 pts, Game vs. WAT A: 2 pts]",100.0,100.0,475,3.0188859243,9
Daley Blind,MUN,5.4,,Midfielder,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 0 pts, Game vs. MCI H: 0 pts, Game vs. CRY A: 3 pts]",,,246,3.00685144802,9
Hugo Lloris,TOT,5.1,,Goalkeeper,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 8 pts, Game vs. BOU A: 2 pts, Game vs. AVL H: 2 pts]",100.0,100.0,323,3.00196331066,9
Bamidele Alli,TOT,4.9,,Midfielder,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 3 pts, Game vs. BOU A: 2 pts, Game vs. AVL H: 10 pts]",,,348,2.99336857906,9
Damien Delaney,CRY,4.4,,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 0 pts, Game vs. LEI A: 0 pts, Game vs. MUN H: 7 pts]",100.0,100.0,108,2.99299789063,9
David Silva,MCI,10.0,Ankle injury - Expected back 08 Nov,Midfielder,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 0 pts, Game vs. MUN A: 0 pts, Game vs. NOR H: 0 pts]",0.0,0.0,216,2.99174641883,9
Nathaniel Clyne,LIV,5.5,,Defender,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 6 pts, Game vs. SOU H: 2 pts, Game vs. CHE A: 2 pts]",,,186,2.97785317573,9
Yannick Bolasie,CRY,6.2,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 2 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 3 pts]",100.0,100.0,112,2.97502420477,9
Christian Benteke,LIV,8.3,,Forward,CRY-H MCI-A SWA-H,"[Game vs. TOT A: 0 pts, Game vs. SOU H: 8 pts, Game vs. CHE A: 9 pts]",100.0,100.0,51,2.97341804517,9
Kasper Schmeichel,LEI,4.5,,Goalkeeper,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 2 pts, Game vs. CRY H: 7 pts, Game vs. WBA A: 1 pts]",,,152,2.96593415388,9
Eliaquim Mangala,MCI,5.5,,Defender,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 2 pts, Game vs. MUN A: 0 pts, Game vs. NOR H: 0 pts]",100.0,100.0,213,2.93369017829,9
Morgan Schneiderlin,MUN,5.2,Personal Reasons - 75% chance of playing,Midfielder,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 9 pts, Game vs. MCI H: 2 pts, Game vs. CRY A: 3 pts]",,75.0,308,2.91594235711,9
Brede Hangeland,CRY,4.3,,Defender,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 0 pts]",,,111,2.90208879972,9
Wilfried Zaha,CRY,5.3,,Midfielder,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 0 pts, Game vs. MUN H: 3 pts]",100.0,100.0,114,2.88411511386,9
Steve Cook,BOU,4.4,Ankle injury - 75% chance of playing,Defender,NEW-H SWA-A EVE-H,"[Game vs. MCI A: 0 pts, Game vs. TOT H: 0 pts, Game vs. SOU A: 0 pts]",,75.0,58,2.87303372862,9
Ikechi Anya,WAT,4.4,,Midfielder,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 2 pts, Game vs. STK A: 3 pts, Game vs. WHU H: 6 pts]",100.0,100.0,437,2.86884224577,9
Etienne Capoue,WAT,4.8,,Midfielder,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 2 pts, Game vs. STK A: 3 pts, Game vs. WHU H: 2 pts]",,,339,2.86884224577,9
Kyle Naughton,SWA,4.9,,Defender,NOR-A BOU-H LIV-A,"[Game vs. STK H: 0 pts, Game vs. AVL A: 4 pts, Game vs. ARS H: 1 pts]",100.0,100.0,397,2.86348376192,9
Neil Taylor,SWA,5.0,,Defender,NOR-A BOU-H LIV-A,"[Game vs. STK H: 2 pts, Game vs. AVL A: 2 pts, Game vs. ARS H: 1 pts]",,,399,2.86348376192,9
Wayne Hennessey,CRY,3.9,,Goalkeeper,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 1 pts, Game vs. LEI A: 2 pts, Game vs. MUN H: 6 pts]",,,103,2.83587290756,9
Lukasz Fabianski,SWA,5.0,,Goalkeeper,NOR-A BOU-H LIV-A,"[Game vs. STK H: 2 pts, Game vs. AVL A: 2 pts, Game vs. ARS H: 1 pts]",,,395,2.83457089662,9
Aaron Ramsey,ARS,8.1,Hamstring injury - Expected back 21 Nov,Midfielder,TOT-H WBA-A NOR-A,"[Game vs. WAT A: 8 pts, Game vs. EVE H: 0 pts, Game vs. SWA A: 0 pts]",0.0,0.0,17,2.83119786821,8
Steven Fletcher,SUN,5.0,,Forward,SOU-H CRY-A STK-H,"[Game vs. WBA A: 2 pts, Game vs. NEW H: 10 pts, Game vs. EVE A: 6 pts]",100.0,100.0,393,2.81739248818,8
Charlie Daniels,BOU,4.5,,Defender,NEW-H SWA-A EVE-H,"[Game vs. MCI A: 0 pts, Game vs. TOT H: 3 pts, Game vs. SOU A: 1 pts]",100.0,100.0,60,2.78212463771,8
Cameron Jerome,NOR,4.8,,Forward,SWA-H CHE-A ARS-H,"[Game vs. NEW A: 1 pts, Game vs. WBA H: 1 pts, Game vs. MCI A: 6 pts]",100.0,100.0,293,2.76556594976,8
Troy Deeney,WAT,5.1,,Forward,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 2 pts, Game vs. STK A: 6 pts, Game vs. WHU H: 2 pts]",,,441,2.75451405552,8
James McCarthy,EVE,4.8,,Midfielder,WHU-A AVL-H BOU-A,"[Game vs. MUN H: 2 pts, Game vs. ARS A: 2 pts, Game vs. SUN H: 5 pts]",100.0,100.0,141,2.73488292662,8
Salomón Rondón,WBA,6.7,,Forward,MUN-A ARS-H WHU-A,"[Game vs. SUN H: 2 pts, Game vs. NOR A: 8 pts, Game vs. LEI H: 6 pts]",100.0,100.0,551,2.70317263463,8
Nicolás Otamendi,MCI,6.5,,Defender,AVL-A LIV-H SOU-H,"[Game vs. BOU H: 1 pts, Game vs. MUN A: 8 pts, Game vs. NOR H: 11 pts]",,,564,2.69772074266,8
David de Gea,MUN,5.5,,Goalkeeper,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 7 pts, Game vs. MCI H: 6 pts, Game vs. CRY A: 9 pts]",100.0,100.0,226,2.69637911171,8
Almen Abdi,WAT,4.7,,Midfielder,LEI-A MUN-H AVL-A,"[Game vs. ARS H: 2 pts, Game vs. STK A: 11 pts, Game vs. WHU H: 3 pts]",100.0,100.0,434,2.68702406395,8
Eric Dier,TOT,5.2,,Defender,ARS-A WHU-H CHE-H,"[Game vs. LIV H: 0 pts, Game vs. BOU A: 2 pts, Game vs. AVL H: 2 pts]",100.0,100.0,331,2.68518110115,8
Alex McCarthy,CRY,4.1,,Goalkeeper,LIV-A SUN-H NEW-H,"[Game vs. WHU H: 0 pts, Game vs. LEI A: 0 pts, Game vs. MUN H: 0 pts]",,,518,2.65405472574,8
Wayne Rooney,MUN,10.2,,Forward,WBA-H WAT-A LEI-A,"[Game vs. EVE A: 6 pts, Game vs. MCI H: 2 pts, Game vs. CRY A: 2 pts]",100.0,100.0,250,2.63755936876,8
Jeremain Lens,SUN,6.4,,Midfielder,SOU-H CRY-A STK-H,"[Game vs. WBA A: 0 pts, Game vs. NEW H: 3 pts, Game vs. EVE A: 0 pts]",100.0,100.0,510,2.63234388478,8
Jeffrey Schlupp,LEI,5.0,,Defender,WAT-H NEW-A MUN-H,"[Game vs. SOU A: 0 pts, Game vs. CRY H: 5 pts, Game vs. WBA A: 1 pts]",,,156,2.62587347955,8
